Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Dialogue Act
5111,"Well, why dont you tell me what youre supposed to be!",Joey,anger,518,1,3,19,"00:19:20,033","00:19:22,994",q
5112,Huh?,Joey,neutral,518,2,3,19,"00:19:22,000","00:19:22,994",oth
5113,Because I sure as hell cant figure it out!,Joey,anger,518,3,3,19,"00:19:23,162","00:19:25,580",s
5114,I talk to you and its nothin.,Joey,neutral,518,4,3,19,"00:19:25,747","00:19:28,207",s
5115,"You look at me, and nothin.",Joey,neutral,518,5,3,19,"00:19:28,375","00:19:31,085",s
5116,Nothing.,Joey,neutral,518,6,3,19,"00:19:44,141","00:19:45,308",s
5117,"You guys make me fly! High! Okay, were gonna pick it up here, tomorrow.",The Director,joy,518,7,3,19,"00:19:47,477","00:19:58,946",s
5118,"Well, that was ah...",Kate,neutral,518,8,3,19,"00:20:01,283","00:20:03,618",oth
5119,What?! What are you doing?!,Monica,surprise,519,0,7,12,"00:15:11,452","00:15:14,162",q
5120,Do you know what just happened?,Chandler,anger,519,1,7,12,"00:15:14,622","00:15:16,831",q
5121,Yeah. We-we had sex and then we fell asleep.,Monica,neutral,519,2,7,12,"00:15:18,000","00:15:21,836",ans
5122,No. We were in the middle of sexand,Chandler,neutral,519,3,7,12,"00:15:23,797","00:15:27,258",dag
5123,"Nooo! No, thats not true. No, best time ever! Yeah, you rocked my world!",Monica,joy,519,4,7,12,"00:15:31,847","00:15:42,023",dag
5124,"Don't worry, Chandler, it's not a globe of the United States.",Joey,neutral,520,0,7,8,"00:04:07,288","00:04:10,249",o
5125,Hey you guys I'm gonna go out and take a walk.,Phoebe,neutral,520,1,7,8,"00:04:17,966","00:04:20,592",s
5126,"Phoebe, why is your bag moving?",Ross,surprise,520,2,7,8,"00:04:20,843","00:04:23,095",q
5127,"Oh, it's not!",Phoebe,neutral,520,3,7,8,"0:04:23,304","0:04:24,139",ans
5128,"Seriously, it's moving!",Rachel,surprise,520,4,7,8,"0:04:24,139","0:04:25,911",s
5129,What the hell is in there?,Joey,surprise,520,5,7,8,"00:04:26,099","00:04:29,559",q
5130,It's just my knitting that's all! Yes! I knit this. I'm very good.,Phoebe,neutral,520,6,7,8,"00:04:26,099","00:04:40,612",ans
5131,There will come a time in each of your careers when youll have a chance to screw over another soap opera actor.,Joey,neutral,521,0,3,7,"00:19:55,444","00:20:02,491",s
5132,"I had such an opportunity in the recent, present.",Joey,neutral,521,1,3,7,"00:20:03,202","00:20:06,954",s
5133,"And Im ashamed to say that I took it, I advised a fellow actor to play a role, homosexually.",Joey,sadness,521,2,3,7,"00:20:08,957","00:20:18,633",s
5134,"Yeah, we both auditioned for the part, and uh, as it turned out, they ah, they liked the stupid gay thing and cast him.",Joey,anger,521,3,3,7,"00:20:24,723","00:20:32,980",ag
5135,"And now, hes got a two year contract opposite Susan Luchhi, the first lady of daytime television, and me, me Im stuck here teaching a bunch of people, most of whom are too ugly to even be on TV.",Joey,sadness,521,4,3,7,"00:20:42,282","00:20:50,581",s
5136,"Im sorry, Im sorry, Im sorry.",Joey,sadness,521,5,3,7,"00:21:06,765","00:21:08,933",ap
5137,Thank you.,Joey,neutral,521,6,3,7,"00:21:18,860","00:21:20,319",a
5138,Rach?,Phoebe,surprise,522,0,7,18,"00:20:57,047","00:20:58,089",g
5139,Ill be out in a second.,Rachel,neutral,522,1,7,18,"00:20:58,257","00:21:01,509",s
5140,Oh. Its just so unexpected! II uhBoy Ill tell you its just such an honor to be nominated for a,Phoebe,joy,522,2,7,18,"00:21:05,806","00:21:17,817",s
5141,"Honey, we have to go. Our reservations are at 8:00.",Rachel,neutral,522,3,7,18,"00:21:27,828","00:21:33,499",s
5142,in Reservations at 8:00 by Neil Simon. Thank-thank you Neil. Thank you for the words.,Phoebe,neutral,522,4,7,18,"00:21:29,913","00:21:37,545",oth
5143,"Okay honey, you can finish this later were gonna be late. We gotta go.",Rachel,neutral,522,5,7,18,"00:21:38,088","00:21:40,840",o
5144,"Please, dont play the music. Just uh one more.",Phoebe,joy,522,6,7,18,"00:21:41,008","00:21:43,342",c
5145,I can't believe you don't want to know.,Rachel,surprise,523,0,1,12,"00:09:35,283","00:09:38,618",s
5146,"I mean, I couldn't not know, I mean, if, if the doctor knows, and Carol knows, and Susan knows....",Rachel,joy,523,1,1,12,"0:09:38,786","0:09:42,298",s
5147,And Monica knows...,Monica,neutral,523,2,1,12,"0:09:42,298","0:09:42,435",s
5148,"Wha, heh, how could you know, I don't even know!",Ross,surprise,523,3,1,12,"00:09:44,709","00:09:47,002",s
5149,"Carol called me to thank me for the lasagna, I asked, she told me.",Monica,neutral,523,4,1,12,"00:09:47,169","00:09:51,131",s
5150,So what's it gonna be?,Joey,joy,523,5,1,12,"00:09:51,299","00:09:52,757",q
5151,"Waitohheyhuh, oh great now he knows, and I don't know!",Ross,anger,523,6,1,12,"00:09:54,969","00:09:57,804",dag
5152,"I'm sorry, I'm just excited about being an aunt!",Monica,joy,523,7,1,12,"00:09:57,972","00:10:00,473",ap
5153,Or an uncle...,Joey,neutral,523,8,1,12,"00:10:00,641","00:10:02,392",oth
5154,Hey Phoebe!,Chandler,joy,523,9,1,12,"0:10:07,398","0:10:08,370",g
5155,Hi Pheebs!,Ross,joy,523,10,1,12,"0:10:08,370","0:10:08,454",g
5156,Pheebs!,Rachel,joy,523,11,1,12,"0:10:08,454","0:10:09,653",g
5157,Fine!,Phoebe,anger,523,12,1,12,"00:10:09,734","00:10:11,234",a
5158,"Phoebe, what's the matter?",Monica,neutral,523,13,1,12,"00:10:13,988","00:10:16,072",q
5159,"Nothing, I'm sorry, I'm just, I'm out of sorts.",Phoebe,sadness,523,14,1,12,"00:10:16,240","00:10:23,872",ans
5160,"Oh, right, that's me!",Rachel,surprise,523,15,1,12,"00:10:22,038","00:10:23,872",ag
5161,"Hey, Chandler, that table place closes at 7, come on.",Joey,neutral,523,16,1,12,"00:10:25,249","00:10:28,418",g
5162,Fine.,Chandler,neutral,523,17,1,12,"00:10:28,586","00:10:29,753",a
5163,"Phoebe, what is it?",Monica,neutral,523,18,1,12,"0:10:30,212","0:10:32,184",q
5164,"All right, you know Paolo?",Phoebe,neutral,523,19,1,12,"0:10:32,184","0:10:33,178",q
5165,"I'm familiar with his work, yes...",Ross,neutral,523,20,1,12,"00:10:34,383","00:10:38,053",ans
5166,"Well, he made a move on me.",Phoebe,anger,523,21,1,12,"00:10:39,263","00:10:40,513",s
5167,"Whoa, store will be open tomorrow!",Joey,surprise,523,22,1,12,"0:10:40,681","0:10:42,225",oth
5168,"More coffee over here, please!",Chandler,joy,523,23,1,12,"0:10:42,225","0:10:43,830",oth
5169,Hey.,Phoebe,neutral,524,0,3,10,"00:07:23,985","00:07:25,485",g
5170,"Hey. What, what are you doing here?",Joey,surprise,524,1,3,10,"00:07:25,653","00:07:27,988",q
5171,"Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental.",Phoebe,sadness,524,2,3,10,"00:07:28,156","00:07:34,578",ans
5172,"Yeah, oh, but oh...",Phoebe,neutral,524,3,3,10,"00:07:34,745","00:07:36,872",ag
5173,"Look now, Phoebe remember, hey, their just fulfilling their Christmas....",Joey,neutral,524,4,3,10,"00:07:37,039","00:07:41,960",oth
5174,Destiny.,Phoebe,neutral,524,5,3,10,"0:07:42,128","0:07:42,671",s
5175,Sure.,Joey,neutral,524,6,3,10,"0:07:42,671","0:07:43,047",ag
5176,Yes.,Phoebe,neutral,524,7,3,10,"0:07:43,047","0:07:43,689",ag
5177,All right.,Joey,neutral,524,8,3,10,"00:07:43,754","00:07:46,465",a
5178,Okay. Yikes! That one doesnt look very fulfilled.,Phoebe,surprise,524,9,3,10,"00:07:46,966","00:07:49,968",s
5179,"Oh, thats, thats ah, one of the old ones, hes just taking it to the back.",Joey,neutral,524,10,3,10,"00:07:50,136","00:07:53,388",s
5180,"You keep the old ones in the back, that is so ageist.",Phoebe,anger,524,11,3,10,"00:07:53,556","00:07:58,393",o
5181,Well we have to make room for the fresh ones.,Joey,neutral,524,12,3,10,"0:07:59,437","0:08:01,329",s
5182,"So, what happens to the old guys?",Phoebe,sadness,524,13,3,10,"0:08:01,329","0:08:03,875",q
5183,"Well, they go into the chipper.",Joey,neutral,524,14,3,10,"00:08:04,358","00:08:05,859",ans
5184,"Why, do I have a feeling thats not as happy as it sounds? No! Nooooo!!!",Phoebe,fear,524,15,3,10,"00:08:07,361","00:08:14,868",q
5185,Hey! Hey!!,Joey,surprise,524,16,3,10,"00:08:21,626","00:08:23,418",oth
5186,Light still out?,Monica,neutral,525,0,1,4,"0:16:42,001","0:16:42,919",q
5187,Yeah.,Rachel,neutral,525,1,1,4,"0:16:42,919","0:16:43,981",ans
5188,Oh. Maybe they're- napping.,Monica,neutral,525,2,1,4,"00:16:44,086","00:16:46,004",s
5189,"Oh please, they're having sex.",Rachel,sadness,525,3,1,4,"00:16:46,171","00:16:48,965",s
5190,Shut up!,Monica and Phoebe,anger,525,4,1,4,"00:16:49,133","00:16:50,633",c
5191,"So, whaddya think George is like?",Rachel,neutral,525,5,1,4,"00:16:55,931","00:16:59,267",q
5192,I think he's shy.,Monica,neutral,525,6,1,4,"0:16:59,435","0:17:00,478",ans
5193,Yeah?,Phoebe,surprise,525,7,1,4,"0:17:00,478","0:17:01,869",q
5194,Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.,Monica,neutral,525,8,1,4,"00:17:01,979","00:17:08,735",ans
5195,"Hi! Hi, Im Ross, you dont know me, but Im a big, big fan of yours. I mean,",Ross,joy,526,0,3,5,"00:19:49,396","00:19:56,944",s
5196,Arent you with that girl over there?,Isabella,neutral,526,1,3,5,"00:20:11,793","00:20:14,086",q
5197,"Well, yeah, kinda.",Ross,neutral,526,2,3,5,"00:20:18,759","00:20:20,259",ans
5198,"Um, but thats okay, see we have an understanding, um, see we each have this list of five famous people, so Im allowed to sleep with you.",Ross,neutral,526,3,3,5,"00:20:20,427","00:20:28,351",s
5199,"No, no, no, its flattery.",Ross,joy,526,4,3,5,"00:20:31,396","00:20:34,148",dag
5201,"Oh no, no, no, wait, wait, Isabella.",Ross,joy,526,5,3,5,"00:20:36,652","00:20:40,821",c
5202,"Dont, dont just dismiss this so fast.",Ross,fear,526,6,3,5,"00:20:40,989","00:20:42,865",oth
5203,I mean this is a once in a lifetime opportunity...,Ross,neutral,526,7,3,5,"00:20:43,033","00:20:45,451",o
5204,"Yeah, for you. Is that the list?",Isabella,neutral,526,8,3,5,"00:20:45,619","00:20:50,248",q
5205,"Um, yeah.",Ross,neutral,526,9,3,5,"0:20:50,415","0:20:50,797",ans
5206,May I see it?,Isabella,neutral,526,10,3,5,"0:20:50,797","0:20:52,059",q
5207,"Um, no.",Ross,fear,526,11,3,5,"0:20:52,167","0:20:52,877",ans
5208,Come on!,Isabella,joy,526,12,3,5,"0:20:52,877","0:20:53,349",c
5209,"But, okay.",Ross,neutral,526,13,3,5,"00:20:53,460","00:20:55,086",oth
5210,Im not on the list!,Isabella,surprise,526,14,3,5,"00:20:55,837","00:20:57,171",s
5211,"Um, see, but thats not the final draft.",Ross,neutral,526,15,3,5,"00:20:57,339","00:20:59,840",s
5212,Its laminated!,Isabella,anger,526,16,3,5,"00:21:00,342","00:21:02,301",s
5213,"Yeah, um, okay see, you were, you were on the list but my friend, Chandler brought up the very good point that you are international, so I bumped you for Wynona Rider, local.",Ross,neutral,526,17,3,5,"00:21:03,262","00:21:09,433",s
5214,Y'know its ironic...,Isabella,neutral,526,18,3,5,"00:21:19,444","00:21:22,905",s
5216,...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there.,Isabella,neutral,526,19,3,5,"00:21:19,444","00:21:30,371",s
5217,Were just gonna be friends.,Ross,neutral,526,20,3,5,"00:21:38,380","00:21:39,964",s
5218,Get out of here you lurker! Go on! Get!,Phoebe,anger,527,0,5,24,"00:08:00,313","00:08:04,065",oth
5219,Hey Pheebs!,Chandler,joy,527,1,5,24,"0:08:06,110","0:08:06,528",g
5220,Ohh! You made up!,Phoebe,surprise,527,2,5,24,"0:08:06,528","0:08:09,007",oth
5221,"Yeah, I couldn't be mad at him for too long.",Monica,neutral,527,3,5,24,"00:08:09,614","00:08:11,698",ag
5222,"Yeah, she couldn't live without the Chan Love.",Chandler,joy,527,4,5,24,"00:08:11,991","00:08:20,290",s
5223,"Ohh, get a room.",Phoebe,disgust,527,5,5,24,"00:08:18,122","00:08:20,290",c
5224,We have one.,Monica,neutral,527,6,5,24,"0:08:20,500","0:08:21,682",s
5225,I know. Use it.,Phoebe,disgust,527,7,5,24,"0:08:21,682","0:08:22,506",s
5226,"Oh Mon, listen I have to ask!",Rachel,surprise,528,0,6,15,"00:17:08,068","00:17:20,288",oth
5227,"Okay, Joey Tribbiani invited me back to his apartment, now does he do this with a lot of girls?",Rachel,neutral,528,1,6,15,"00:17:10,863","00:17:20,288",q
5228,"Yeah, a lot. A lot, a lot!",Monica,neutral,528,2,6,15,"00:17:15,284","00:17:20,288",ans
5229,"Ohh! And Im one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani!",Rachel,surprise,528,3,6,15,"00:17:20,456","00:17:29,464",s
5230,"Well, yknow its none of my business, but arent you married?",Monica,neutral,528,4,6,15,"00:17:29,715","00:17:39,098",q
5231,Yeah. Oh I just wish we could not be married for a little bit! Yknow I just wish we could be like on a break!,Rachel,anger,528,5,6,15,"00:17:32,342","00:17:43,227",ans
5232,Ross! I think she is trying to make something happen with you to get back at me!,Rachel,anger,529,0,6,14,"00:17:44,772","00:17:48,232",o
5233,So thats the only reason she could be here huh?,Ross,neutral,529,1,6,14,"00:17:48,400","00:17:51,235",q
5234,It couldnt have anything to do with the fact that-that maybe Im a good listener and I uh I put on a,Ross,neutral,529,2,6,14,"00:17:51,403","00:18:06,000",ans
5235,"Ross, I am telling you that she is using you to get back at me!",Rachel,anger,529,3,6,14,"00:18:00,704","00:18:06,000",s
5237,"I think I can take care of myself, Ill talk to you later.",Ross,neutral,529,4,6,14,"0:18:06,168","0:18:09,640",o
5238,Good-bye.,Ross,neutral,529,5,6,14,"0:18:09,640","0:18:11,054",g
5239,Whoa!,Ross,surprise,529,6,6,14,"00:18:12,091","00:18:13,716",oth
5240,"Uh, that was your sister actually.",Ross,neutral,529,7,6,14,"00:18:14,885","00:18:18,679",s
5241,She-she thinks that youre just using me.,Ross,neutral,529,8,6,14,"00:18:18,847","00:18:21,182",s
5242,So?,Jill,neutral,529,9,6,14,"00:18:22,017","00:18:23,726",q
5243,Im sorry.,Phoebe,sadness,530,0,3,25,"0:18:57,136","0:18:58,068",ap
5244,What are you doing here?!,Phoebe Sr,surprise,530,1,3,25,"0:18:58,068","0:18:59,697",q
5245,"I-I, came to fill your ice cube trays.",Phoebe,neutral,530,2,3,25,"00:19:00,180","00:19:03,850",ans
5246,What?!,Phoebe Sr,surprise,530,3,3,25,"00:19:05,102","00:19:06,561",q
5247,"Umm, okay, okay, look.",Phoebe,neutral,530,4,3,25,"00:19:09,565","00:19:12,358",oth
5248,I took this picture from your fridge.,Phoebe,anger,530,5,3,25,"0:19:12,526","0:19:14,548",s
5249,"Okay, because I know that this is my Father.",Phoebe,anger,530,6,3,25,"0:19:14,548","0:19:16,708",s
5250,"Yeah, this is Frank Buffay and you are standing right there next to him.",Phoebe,anger,530,7,3,25,"00:19:16,822","00:19:20,241",s
5251,"Now, look I deserve to know where I came from.",Phoebe,anger,530,8,3,25,"00:19:20,784","00:19:23,202",s
5252,All right?,Phoebe,anger,530,9,3,25,"0:19:23,370","0:19:23,788",oth
5253,So if you can help me find my Father then you should!,Phoebe,anger,530,10,3,25,"0:19:23,788","0:19:26,641",s
5254,"Otherwise, youre just mean!",Phoebe,anger,530,11,3,25,"00:19:26,748","00:19:29,000",o
5255,"So, just tell me the truth!",Phoebe,anger,530,12,3,25,"00:19:31,420","00:19:33,629",oth
5256,"All right, the man in the picture is Chuck Magioni.",Phoebe Sr,neutral,530,13,3,25,"00:19:34,089","00:19:40,052",s
5257,My Father is Chuck Magioni?,Phoebe,surprise,530,14,3,25,"00:19:42,181","00:19:44,974",q
5258,"No, no, thats just Chuck Magioni, I-I sold him a house last year!",Phoebe Sr,neutral,530,15,3,25,"00:19:45,142","00:19:53,816",ans
5259,"And Im very sorry, but I dont know where your Father is, and thats the truth.",Phoebe Sr,sadness,530,16,3,25,"00:19:49,605","00:19:55,735",ap
5260,Oh.,Phoebe,sadness,530,17,3,25,"00:19:56,320","00:19:57,570",b
5261,"But umm, youre right.",Phoebe Sr,neutral,530,18,3,25,"00:19:57,946","00:20:00,406",ag
5262,I think that a person should know where they come from.,Phoebe Sr,neutral,530,19,3,25,"00:20:00,991","00:20:03,951",s
5263,"Wh-which is why I ah, ahh, okay.",Phoebe Sr,neutral,530,20,3,25,"00:20:04,620","00:20:14,629",oth
5264,Im your mother.,Phoebe Sr,neutral,530,21,3,25,"00:20:15,672","00:20:17,340",s
5265,Heh?,Phoebe,surprise,530,22,3,25,"00:20:20,177","00:20:21,677",oth
5266,"Y'know I wanted to tell you yesterday, but I just, I kinda felt all floopy, and...",Phoebe Sr,sadness,530,23,3,25,"00:20:22,512","00:20:27,642",s
5267,Whats happening to your accent?,A Student,surprise,531,0,6,4,"00:20:01,742","00:20:04,327",q
5268,Come again?,Ross,surprise,531,1,6,4,"0:20:07,164","0:20:07,976",c
5269,Whats-whats this nonsense?,Ross,fear,531,2,6,4,"0:20:07,976","0:20:10,173",q
5270,"All right, Im-Im not English.",Ross,sadness,531,3,6,4,"00:20:14,213","00:20:16,964",s
5271,Im from Long Island.,Ross,neutral,531,4,6,4,"00:20:18,592","00:20:20,927",s
5272,"I was really nervous and the accent just uh, just came out.",Ross,sadness,531,5,6,4,"00:20:21,428","00:20:25,806",s
5273,Im sorry.,Ross,sadness,531,6,6,4,"00:20:25,974","00:20:28,184",ap
5274,"So, if we could just get back to the lecture.",Ross,neutral,531,7,6,4,"00:20:30,062","00:20:33,022",s
5275,"Umm, were there any questions?",Ross,neutral,531,8,6,4,"00:20:33,732","00:20:36,984",q
5276,About paleontology.,Ross,neutral,531,9,6,4,"00:20:39,696","00:20:41,322",q
5277,"All right, look I was just trying to make a good first impression.",Ross,anger,531,10,6,4,"00:20:43,867","00:20:47,703",s
5278,"Obviously, I screwed up.",Ross,sadness,531,11,6,4,"00:20:47,871","00:20:49,747",s
5279,But what you guys think of me is really important because Im-Im hoping to get a permanent job here.,Ross,neutral,531,12,6,4,"00:20:49,915","00:20:55,294",o
5280,So if you just give me another chance to make a good impression,Ross,neutral,531,13,6,4,"00:20:55,462","00:20:58,839",s
5281,Ross!! Are you crazy?! I am,Rachel,anger,531,14,6,4,"00:21:00,425","00:21:06,055",q
5282,"Well, hello Rachel!",Ross,surprise,531,15,6,4,"00:21:16,024","00:21:17,775",g
5283,"Where you going, Joe?",Chandler,neutral,532,0,9,12,"00:10:28,794","00:10:31,046",q
5284,For a walk.,Joey,neutral,532,1,9,12,"00:10:35,426","00:10:37,135",ans
5285,Oh. You mind if I join you?,Chandler,neutral,532,2,9,12,"00:10:37,303","00:10:39,304",q
5286,"Actually, that will be long. You know, I really need to organize my thoughts.",Joey,neutral,532,3,9,12,"00:10:39,555","00:10:44,851",ans
5287,Your thoughts? Plural?,Chandler,surprise,532,4,9,12,"00:10:46,103","00:10:48,355",q
5288,"Allright, fine, I only have one thought! It's about the hot nanny, I gotta see her!",Joey,joy,532,5,9,12,"00:10:55,780","00:10:57,906",ans
5289,"I'm afraid I can't let you do that, Joe.",Chandler,neutral,532,6,9,12,"0:10:58,908","0:11:01,010",s
5290,Now YOU'RE telling me I can't see her??,Joey,anger,532,7,9,12,"0:11:01,010","0:11:02,514",q
5291,You guys are killing me!,Joey,sadness,532,8,9,12,"0:11:02,620","0:11:04,122",s
5292,She's forbidden fruit!,Joey,sadness,532,9,9,12,"0:11:04,122","0:11:07,186",s
5293,"It's like ... like she's the princess and I'm the stable boy ... Why are you doing this, huh?",Joey,sadness,532,10,9,12,"00:11:07,291","00:11:17,092",q
5294,Did Ross tell you not to let me go over there?,Joey,neutral,532,11,9,12,"00:11:14,840","00:11:17,092",q
5295,"Yes, as a matter of fact he did, so I can't let you go.",Chandler,neutral,532,12,9,12,"00:11:17,301","00:11:20,011",ans
5296,Huh. Interesting. Now there are obstacles. Hot nanny and me against the world. This is the kind of stuff great novels are made of.,Joey,anger,532,13,9,12,"00:11:20,221","00:11:31,022",s
5297,Great novels?,Chandler,surprise,532,14,9,12,"00:11:28,896","00:11:31,022",q
5298,Fine ... mediocre porn,Joey,neutral,532,15,9,12,"00:11:31,232","00:11:33,817",ans
5299,"Okay, I think we can get the evaluation back before they see it, but were gonna have to get into Mr. Zelners office.",Rachel,neutral,533,0,7,9,"00:16:11,428","00:16:18,685",o
5300,"Now, he doesnt get in until 10, so hes no problem, but his assistant, Betty, she comes in early to eat her breakfast at her desk.",Rachel,neutral,533,1,7,9,"00:16:18,894","00:16:22,939",s
5301,Thats kinda sad.,Tag,sadness,533,2,7,9,"00:16:23,148","00:16:26,401",s
5302,"Yeah, well Betty is kinda sad. Which is why I believe I can lure her away with these chocolates. Now, while I distract her,",Rachel,neutral,533,3,7,9,"00:16:26,819","00:16:34,200",ag
5303,Got it!,Tag,joy,533,4,7,9,"0:16:34,410","0:16:34,962",oth
5304,Lets roll!,Rachel,joy,533,5,7,9,"0:16:34,962","0:16:35,840",c
5305,"Hello Rachel, you uh, got a minute?",Mr. Zelner,neutral,533,6,7,9,"00:16:37,496","00:16:39,706",q
5306,"Yeah, sure Mr. Zelner, for you anythingminute. Okay. Fine. Abort the plan, abort the plan.",Rachel,neutral,533,7,7,9,"00:16:45,546","00:16:47,130",ans
5307,"Uh actually, Id like to speak with both of you.",Mr. Zelner,neutral,533,8,7,9,"00:16:47,923","00:16:50,591",s
5308,"Okay. Uh, well can we, can we get you anything Mr. Zelner? Maybe some chocolates?",Rachel,neutral,533,9,7,9,"00:16:51,051","00:16:57,849",ag
5309,"Cassie, are you finding everything okay in there?",Phoebe,neutral,534,0,7,19,"00:21:14,147","00:21:16,482",q
5310,Yeah! Thank you so much for letting me stay here.,Cassie,neutral,534,1,7,19,"00:21:16,650","00:21:19,443",ans
5311,Oh! No problem! I,Phoebe,joy,534,2,7,19,"00:21:19,611","00:21:21,821",oth
5312,What?,Cassie,surprise,534,3,7,19,"00:21:40,007","00:21:41,048",q
5313,You are iron.,Hoshi,neutral,535,0,3,24,"0:07:00,294","0:07:01,337",s
5314,You are steel!,Hoshi,joy,535,1,3,24,"0:07:01,337","0:07:03,186",s
5315,"Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?",Hoshi,anger,535,2,3,24,"00:07:03,840","00:07:09,678",q
5316,"I told you, were adding new operators all the time. Could we concentrate on my training?",Pete,neutral,535,3,3,24,"00:07:09,929","00:07:13,432",ans
5317,"I mean why, of all people would you want to go out with Chip?!",Rachel,surprise,536,0,4,2,"00:07:20,064","00:07:22,858",q
5318,"Look, you and I went to different high schools...",Monica,neutral,536,1,4,2,"00:07:23,025","00:07:24,776",ans
5319,"Okay, that doesnt help me, because we went to the same high school.",Rachel,neutral,536,2,4,2,"00:07:24,944","00:07:27,946",o
5320,"You went to one where you were popular, and you got to ride off Chips motorcycle, and wear his letterman jacket.",Monica,neutral,536,3,4,2,"00:07:28,114","00:07:34,494",s
5321,I went to one where I wore a band uniform they had to have specially made.,Monica,sadness,536,4,4,2,"0:07:34,662","0:07:38,834",s
5322,They had to have that specially made?!,Rachel,surprise,536,5,4,2,"0:07:38,834","0:07:38,972",o
5323,It was a project for one of the Home Ec classes.,Monica,neutral,536,6,4,2,"00:07:45,214","00:07:47,299",s
5324,"Oh my God, they told us that was for the mascot!",Rachel,surprise,536,7,4,2,"00:07:49,260","00:07:52,721",s
5325,"Back then, I thought that I would never, ever get the chance to go out with a Chip Matthews, and now hes-hes called me up and asked me out.",Monica,surprise,536,8,4,2,"00:07:55,558","00:08:03,482",o
5326,And the fat girl inside of me really wants to go.,Monica,joy,536,9,4,2,"0:08:03,649","0:08:06,277",s
5327,I-I owe her this.,Monica,neutral,536,10,4,2,"0:08:06,277","0:08:07,795",s
5328,I never let her eat.,Monica,neutral,536,11,4,2,"00:08:07,904","00:08:09,654",s
5329,"Oh, you go out with him.",Rachel,neutral,536,12,4,2,"0:08:10,490","0:08:12,912",s
5330,"Oh, really?!",Monica,surprise,536,13,4,2,"0:08:12,912","0:08:13,136",q
5331,"Yeah. Just, if its possible, could you leave him somewhere and go have sex with another guy?",Rachel,neutral,536,14,4,2,"00:08:13,242","00:08:18,705",ans
5332,Ill try.,Monica,neutral,536,15,4,2,"00:08:19,081","00:08:20,790",s
5333,"Hey! Tall guy! Hey, listen, I wanted to talk to you about that girl that youre dancing with.",Joey,neutral,537,0,6,10,"00:12:04,432","00:12:15,483",g
5334,"Yeah, yeah, okay.",Joey,neutral,537,1,6,10,"00:12:16,193","00:12:19,154",ag
5335,"Uh, look buddy, I came with that girl, and I had this plan to kiss her at the new years countdown  Im trying to win her over, so I was wondering if..",Joey,joy,537,2,6,10,"00:12:22,032","00:12:29,164",s
5336,"Oh come on man, you can dance with my partner, shes real, uh, mellow!",Joey,anger,537,3,6,10,"00:12:31,208","00:12:35,295",s
5337,"Well, I was hoping after tonight that maybe I could you know",Joey,neutral,537,4,6,10,"00:12:40,384","00:12:42,844",s
5338,"Ross, get over it! Its not like she hates you.",Rachel,anger,538,0,6,11,"00:08:31,511","00:08:33,053",oth
5339,Yeah but,Ross,sadness,538,1,6,11,"00:08:33,221","00:08:35,430",oth
5340,"Ross, shes not weird, she just wants her stuff to be one of a kind.",Rachel,neutral,538,2,6,11,"00:08:45,358","00:08:49,069",o
5341,Huh. Yknow whats not one of a kind? A twin!,Ross,anger,538,3,6,11,"00:08:49,237","00:08:53,823",q
5345,"Ooh, Phoebes here! Okay, lets turn out all the lights and well just watch the movie!",Rachel,joy,538,4,6,11,"00:08:58,663","00:09:01,373",s
5346,"Okay. HeyOoh, cool sheets!",Phoebe,joy,538,5,6,11,"00:09:01,582","00:09:05,252",ag
5347,"Oh, you like it? You wanna know where I got it?",Ross,joy,538,6,6,11,"00:09:01,582","00:09:08,213",q
5348,Sure!,Phoebe,joy,538,7,6,11,"00:09:05,419","00:09:08,213",ans
5349,He got it a flea market!,Rachel,joy,538,8,6,11,"00:09:08,381","00:09:09,798",s
5350,"You bought your sheets at a flea market? Ross come on, you gotta loosen the purse strings a little.",Phoebe,disgust,538,9,6,11,"00:09:11,300","00:09:17,889",s
5351,And Joey?,Rachel,neutral,539,0,9,12,"00:01:08,318","00:01:09,443",q
5352,How do you think she's doing?,Joey,neutral,539,1,9,12,"00:01:09,694","00:01:11,487",q
5353,Am I the only one who doesn't think that she's hot? Ross?,Rachel,surprise,539,2,9,12,"00:01:13,656","00:01:16,116",s
5354,"Eh, I mean, I mena she's not unattractive but hot? I ....",Ross,surprise,539,3,9,12,"00:01:16,326","00:01:23,499",s
